agri_class,DEM_mean,Slope_mean,sand_pct,clay_pct,bd_gcm3,SOC_mean
1,221.71875,1.306006600148976,38.68,25.64,1.5,29.979450387566366
1,221.59722222222223,1.999347440898418,38.78,25.63,1.5,26.634341773142708
1,220.34375,2.114256557077169,38.28,27.93,1.5,30.84557972892368
1,180.0,1.704095898762993,39.44,26.31,1.49,29.0
1,221.734375,1.815132725052536,39.58,26.08,1.5,29.0
1,221.77777777777777,2.216282919877105,39.48,26.35,1.51,29.224177850357066
1,221.15277777777777,1.361580135093795,39.11,25.11,1.49,26.0
1,223.76543209876544,2.33258831648179,38.75,26.54,1.51,29.679166008041427
1,223.66666666666663,1.451143865784009,38.57,26.54,1.51,30.0
1,222.04938271604945,2.279546892201459,38.7,26.39,1.5,28.39718176875846
1,221.88888888888889,1.719694435596466,38.06,28.24,1.49,29.594373869506647
1,141.95833333333334,1.964154079193022,39.36,26.62,1.5,29.0
1,221.48148148148147,1.659197875011114,39.62,25.27,1.5,29.758451281971382
1,223.828125,1.429097848944366,38.53,26.92,1.51,29.33600453519712
1,223.734375,1.803096989169717,38.44,26.71,1.51,29.012376462329353
1,221.70833333333331,1.255658019747999,37.86,28.29,1.49,31.0
1,221.171875,1.82850247900933,39.41,26.47,1.49,29.0
1,221.671875,1.091032233089209,38.86,24.02,1.5,29.315635978540875
1,139.76388888888889,1.603410645173146,38.52,23.95,1.5,30.611811032216693
1,182.328125,1.68396641554371,38.68,24.76,1.5,30.7724364034421
1,222.83333333333331,1.490277119419154,38.75,26.19,1.5,30.0
1,222.515625,2.40349951479584,38.68,26.65,1.51,30.0
1,221.4375,1.753760890103877,39.41,26.63,1.49,29.000000000000004
1,222.02777777777777,1.99732414053546,38.96,26.04,1.49,29.21384089715408
1,221.703125,2.144006392918527,38.17,23.49,1.5,28.340028632576534
1,176.23456790123456,2.077029307042399,38.28,26.98,1.53,31.000000000000004
1,209.79166666666663,2.806280331364993,37.45,27.17,1.51,31.12152049180808
1,229.13888888888889,1.897511805548812,37.44,28.28,1.5,30.000000000000004
1,153.83333333333334,2.060604521008425,37.95,27.95,1.5,30.0
1,229.04938271604945,1.985448661484296,40.16,25.86,1.52,29.62665511816729
0,207.75,1.758186784924054,38.21,23.75,1.51,29.53740185608839
1,223.6049382716049,1.783661789364285,38.48,24.02,1.5,30.142837864520267
1,223.77777777777777,1.641404848959711,38.55,24.97,1.5,30.227961980513125
1,223.15277777777777,2.09111039671633,38.92,26.07,1.5,30.0
1,223.09722222222223,2.939551113380326,38.54,26.55,1.51,30.000000000000004
1,221.71604938271605,2.185602932064622,37.57,28.14,1.5,29.80974687794314
1,221.94444444444443,1.295986880858739,39.12,27.21,1.5,29.0
1,221.16666666666663,1.804667881793446,39.05,25.1,1.5,29.651439699049536
1,225.578125,1.981951001100242,38.54,26.6,1.52,30.35483818383114
1,228.359375,1.929981913417578,38.65,26.04,1.53,30.639821783782615
1,195.828125,1.357871008162596,40.32,26.07,1.52,30.15336616689984
1,227.25,1.396242534741759,40.25,25.98,1.52,30.27370545638557
1,228.4375,1.827654588036239,39.75,26.5,1.52,30.318697963269088
1,228.203125,2.117551962845027,40.01,26.52,1.52,30.414796535667712
1,227.45833333333331,2.578704847229852,39.95,26.55,1.51,30.85065928858356
1,229.3125,1.831833522766829,39.9,26.52,1.52,29.969347817817127
1,118.21875,1.50247781093304,39.84,26.45,1.52,29.000000000000004
1,221.921875,1.449621426872909,38.95,26.03,1.5,30.0
1,222.5,1.49436806794256,38.86,26.52,1.51,30.0
1,222.8125,1.227808106690645,38.5,26.79,1.51,30.0
1,221.84375,1.369360047392547,37.12,28.48,1.51,29.036834212140228
1,222.13888888888889,1.482401977810595,37.26,28.28,1.5,29.70794975753737
1,221.47222222222223,2.377026153935327,37.95,28.73,1.49,29.81671268830515
1,220.29166666666663,1.368146049479644,37.73,24.5,1.49,30.0
1,222.046875,1.701319185085595,37.75,23.52,1.51,29.884987261034656
1,221.4375,1.623645104467869,37.94,23.74,1.51,28.35483818383027
1,173.984375,1.462798384732978,39.3,27.52,1.52,33.16723330092388
1,223.95833333333331,2.219886416021515,39.32,27.4,1.52,32.31414253718332
1,227.54166666666663,2.030367400083277,38.51,26.91,1.52,30.954589370673663
1,227.40625,1.635209209285676,38.45,26.18,1.53,30.981606621744017
1,228.76388888888889,1.62490212586191,38.21,26.63,1.53,32.0
1,229.28125,2.054013059474528,37.48,27.16,1.52,30.617447432490305
1,228.234375,1.662925688549876,40.18,26.49,1.52,31.235167673603627
1,229.13888888888889,1.562665795286496,40.33,25.77,1.52,30.0
1,228.625,1.610132231480546,40.11,26.59,1.53,31.345690029303224
1,229.28125,1.223242366686463,39.92,26.52,1.52,30.29858137782165
1,223.84375,2.91566167678684,37.55,24.06,1.51,29.66369012296064
1,222.578125,1.869596206583083,36.99,28.75,1.51,29.62865257277108
1,221.80555555555557,1.964501963721381,37.96,28.69,1.49,30.000000000000004
1,222.921875,1.763258004561067,38.64,28.06,1.5,29.547266272784167
1,221.828125,1.550560605712235,37.37,24.41,1.5,29.62243777117856
